Address,Baths,Beds,Price,Size,Suffix
shapno nagar(MIRPUR DOHS)UCB CHATTAR,4,3,"9,000,000","1,664 sqft", total price
"Road: 3, Dhanmondi, Dhaka.",3,3,"12,000","1,857 sqft", per sqft
Gulshan,4,3,"34,000,000","2,550 sqft", total price
"ফায়দাবাদ মেইন রোড(মিজানের গ্যারেজ), দক্ষিণখান, উত্তরা, ঢাকা-১২৩০।",2,3,"3,600","1,050 sqft", per sqft
"Road-2, Shyamoli, Dhaka-1207",2,3,"4,550,000","1,140 sqft", total price
"road-04,house-227,228,block-Ta,section-12",2,2,"2,800,000",750 sqft, total price
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"Flat#B2, Rangs Falgooni, 9/2 Sir Sayed Road, Mohammadpur, Dhaka",3,4,"10,000","2,300 sqft", per sqft
Bashundhara,3,3,"6,000","1,600 sqft", per sqft
Bashundhara,4,3,"12,500,000","1,810 sqft", total price
Bashundhara,4,3,"12,500,000","1,810 sqft", total price
"Area - Basundhara R/A Block - A, Road -13  .Plot 295  (3rd floor)",4,3,"9,000","1,860 sqft", per sqft
"plot-447, road-15, block-J, basundhara R/A",2,3,"5,800","1,010 sqft", per sqft
Uttara,2,2,"3,100,000",912 sqft, total price
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",3,3,"6,500","1,880 sqft", per sqft
Basundhara R/A,3,3,"5,800","1,555 sqft", per sqft
Baridhara Basundhar Dhaka,3,3,"10,500,000","1,550 sqft", total price
"House no:1197,Avenue:10, Mirpur  , Dhaka-1216",4,4,"19,000,000","2,200 sqft", total price
"হাসনাবাদ হাউজিং, দক্ষিণ কেরানীগঞ্জ,ঢাকা।",2,4,"2,500,000","1,070 sqft", total price
"প্লট#৯৭, রোড#১৬, সেক্টর#১১, উত্তরা, ঢাকা",2,3,"6,000,000",910 sqft, total price
Gulshan 02,4,4,"17,500","3,200 sqft", per sqft
Gulshan 02,4,4,"19,500","3,500 sqft", per sqft
Gulshan 02,4,4,"19,000","3,700 sqft", per sqft
Gulshan,4,4,"31,000,000","3,000 sqft", total price
"Dhaka Uddan Residential area, Mohammadpur, Dhaka-1207",3,3,"4,400,000","1,155 sqft", total price
Gulshan diplomatic zone,4,3,"21,000,000","1,980 sqft", total price
"Banasree, H-Block",2,3,"4,500,000","1,210 sqft", total price
"Banasree, E- Block",3,3,"10,000,000","1,500 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,555 sqft", per sqft
Bashundhara Block C,4,4,"15,500,000","1,990 sqft", total price
"road-1,house-10,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,553 sqft", per sqft
143 west dhanmondi (modhubazer).,3,3,"6,500","1,225 sqft", per sqft
"Plot 835, Bajar Road, Middle Badda, Dhaka",2,2,"4,200","1,050 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,510 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,550 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,510 sqft", per sqft
"Plot 835, Bajar Road, Middle Badda",2,3,"4,200","1,100 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
"Plot # 1104/1 Kachukhet, Dhaka Cantonment, Dhaka",3,3,"4,200","1,150 sqft", per sqft
"Plot # 1104/1, Kachukhet,",3,3,"4,400","1,350 sqft", per sqft
Basundhara R/A,3,3,"6,800","1,550 sqft", per sqft
"Banasree, H-Block",2,3,"4,500,000","1,050 sqft", total price
"road-04,house-227,228,block-ta,section-12",2,2,"2,700,000",650 sqft, total price
Mohammadpur Japan Garden City,3,3,"6,700,000","1,041 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,556 sqft", per sqft
"Banasree, G-Block",3,3,"6,732,000","1,320 sqft", total price
Uttara,2,2,"4,500,000",910 sqft, total price
Uttara,4,3,"9,500,000","1,530 sqft", total price
Uttara,4,3,"9,500,000","1,530 sqft", total price
Bashundhara,3,3,"11,500,000","1,650 sqft", total price
Bashundhara,3,3,"11,500,000","1,650 sqft", total price
Gulshan-1,4,3,"140,000,000","1,350 sqft", total price
"plot-447, road-15, block-J, basundhara R/A",2,3,"5,800","1,010 sqft", per sqft
341/1 East Kazipara Kafrul Mirpur Dhak 1216,3,3,"4,800,000","1,020 sqft", total price
Basundhara R/A,3,3,"7,100","1,560 sqft", per sqft
"677/3- WEST KAZIPARA MIRPUR DHAKA-1216 ,",3,3,"4,000","1,420 sqft", per sqft
"109/5/b ,west Dhanmondi",3,3,"6,800","1,212 sqft", per sqft
Mohammadpur,2,2,"4,000,000",815 sqft, total price
Malibag,2,3,"10,000,000","1,368 sqft", total price
Malibagh,2,3,"10,000,000","1,368 sqft", total price
Malibag,2,3,"10,000,000","1,368 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
"road-07,house-119,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",3,3,"6,500","1,885 sqft", per sqft
"Beside The Sector#10.Road#09.House#09,Uttara,",2,3,"4,900","1,050 sqft", per sqft
"২৫, স্বামীবাগ, করাতিটোলা, ওয়ারী থানা ঢাকা। ওয়ান্ডারলেন্ড পার্কের উল্টা পার্শে মেইন রোড।",3,3,"6,000","1,200 sqft", per sqft
"House # 317, Road # 21,DOHS-Mohakhali, Dhaka-1206,",3,3,"13,000","1,425 sqft", per sqft
"Airport, Haji camp",3,3,"4,900","5,200 sqft", per sqft
"road-11,house-208,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"road-11,house-208,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
Mohakhali Brac University,2,3,"5,600,000","1,050 sqft", total price
"Near Bolla Mosque , Shahjadpur near to Road 106 Gulshan -2 Offside of Marium Tower -02",3,3,"5,700","1,250 sqft", per sqft
"House- 34, Road-16, Sec- 12, Uttara",3,3,"9,500,000","1,626 sqft", total price
"Beside The Sector#10.Road#09.House#08,Uttara.",2,3,"4,900","1,050 sqft", per sqft
"House # 269, New Elephant Road (Vojjo Teler Goli), Dhaka-1205",3,3,"8,500","1,233 sqft", per sqft
Bashundhara,4,4,"20,000,000","2,200 sqft", total price
Bashundhara,4,4,"20,000,000","2,200 sqft", total price
"Dag no-2602, Mazibari Road, Dakkhinkhan, Uttara, Dhaka-1230",2,3,"3,500",894 sqft, per sqft
"Sarker Azad Castle, Gopalpur pur road, Tongi, Gajpur.",2,2,"2,500,000",852 sqft, total price
Gulshan,4,3,"23,000,000","1,950 sqft", total price
"road-07,house-119,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"109/5/B,west Dhanmondi",3,3,"6,800","1,218 sqft", per sqft
Basundhara R/A,3,3,"6,100","1,550 sqft", per sqft
Uttara Dhaka -1230,4,3,"6,850","1,710 sqft", per sqft
Gulshan 02,3,3,"17,500","2,350 sqft", per sqft
Dhanmondi 32,4,4,"13,500","2,950 sqft", per sqft
Gulshan 02,3,3,"18,500","2,550 sqft", per sqft
Gulshan 02,4,4,"21,000","3,500 sqft", per sqft
"Bashundhara Riverview, Block A, Addin Hospital road",3,3,"2,850","1,400 sqft", per sqft
276/2,3,3,"7,500,000","1,300 sqft", total price
Basundhara R/A,3,3,"5,780","1,551 sqft", per sqft
Basundhara R/A,3,3,"5,500","1,550 sqft", per sqft
"Tipu sultan road,Wari,Dahka",3,3,"6,500","1,401 sqft", per sqft
"Sector#10, Road#09, House# 09, Uttara ,Dhaka",2,3,"4,900","1,050 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",3,3,"6,500","1,880 sqft", per sqft
"House 32/F, 2/A, Rayerbazar, West Dhanmondi, Hashem Khan Road, Hazrat Shah Ali Goli",2,3,"3,600,000","1,050 sqft", total price
"south mollartak borttola,beside airport hajjcamp civil aviation colony_ঢাকা ওয়াসা পানির পাম্প",2,3,"3,500","1,012 sqft", per sqft
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
"ECB Chattar, Dhaka Cantonment, Dhaka.",3,3,"5,300","1,210 sqft", per sqft
"Beside The Sector#10.Road#09.House#08, Uttara, Dhaka",2,3,"4,900","1,050 sqft", per sqft
"Plot # 2/11/B/1, Mymensingh Road Sahbagh, Dhaka-1000.",4,3,"10,000","1,700 sqft", per sqft
"Plot # 35, Road # 1, Dhanmondi R/A, Dhaka-1209",5,4,"14,000","1,410 sqft", per sqft
"House # 269, New Elephant Road (Vojjo Teler Goli), Dhaka-1205.",3,3,"8,500","1,183 sqft", per sqft
